Филиал,Отдел,Месяц,Правило,Final_Weight,is_network_format,Rev_2024,Rev_2025,План,План_Расч,Выручка_2025,Выручка_2024,Площадь_2025,Площадь_2026,Формат,Выручка_2025_Норм,Роль,Base_Weight,Корр,Корр_Дельта,Расч_План,План_Скорр,Прирост_%,Отдача_План,Отдача_2025,Δ_Отдача_%,Δ_Площадь_%
Владимир Лента,1. Сантехника,авг,Структура только формата,0.11120048216766026,True,0.0,625192.0,8340000,1300000.0,625192.0,0.0,505.0,505.0,Мини,625192.0,Стратегический,0.11120048216766026,,,1300000.0,1300000.0,107.9,2574.0,1238.0,107.9,0.0
Владимир Лента,1А. Сантехника инженерная,авг,Структура только формата,0.04340463071606264,True,0.0,132783.0,8340000,140000.0,132783.0,0.0,19.0,18.0,Мини,132783.0,Сопутствующий,0.04340463071606264,,,140000.0,140000.0,5.4,7778.0,6989.0,11.3,-5.3
Владимир Лента,"2А. Крепеж, метизы, такелаж",авг,Структура только формата,0.021580265950475058,True,0.0,64320.0,8340000,70000.0,64320.0,0.0,19.0,19.0,Мини,64320.0,Сопутствующий,0.021580265950475058,,,70000.0,70000.0,8.8,3684.0,3385.0,8.8,0.0
Владимир Лента,3. Плитка керамическая,авг,Структура только формата,0.11058269297870095,True,0.0,765824.0,8340000,1290000.0,765824.0,0.0,257.0,257.0,Мини,765824.0,Стратегический,0.11058269297870095,,,1290000.0,1290000.0,68.4,5019.0,2980.0,68.4,0.0
Владимир Лента,"4. Обои, плитка потолочная",авг,Структура только формата,0.13129075024483114,True,0.0,928805.0,8340000,1530000.0,928805.0,0.0,369.0,369.0,Мини,928805.0,Стратегический,0.13129075024483114,,,1530000.0,1530000.0,64.7,4146.0,2517.0,64.7,0.0
Владимир Лента,"4А. Декор окна, текстиль, ковры",авг,Структура только формата,0.014167814527055532,True,0.0,126891.0,8340000,120000.0,126891.0,0.0,86.0,86.0,Мини,126891.0,Сопутствующий,0.014167814527055532,,,120000.0,120000.0,-5.4,1395.0,1475.0,-5.4,0.0
Владимир Лента,5. Покрытия напольные,авг,Структура только формата,0.10866273989305503,True,0.0,637690.0,8340000,1270000.0,637690.0,0.0,143.0,143.0,Мини,637690.0,Стратегический,0.10866273989305503,,,1270000.0,1270000.0,99.2,8881.0,4459.0,99.2,0.0
Владимир Лента,"6. Электрика, вентиляция, климат",авг,Структура только формата,0.03668109221446836,True,0.0,145561.0,8340000,150000.0,145561.0,0.0,30.0,30.0,Мини,145561.0,Сопутствующий,0.03668109221446836,,,150000.0,150000.0,3.0,5000.0,4852.0,3.1,0.0
Владимир Лента,6А. Светотехника,авг,Не считаем план,0.0008931656160699677,True,0.0,297183.0,8340000,0.0,297183.0,0.0,88.0,88.0,Мини,297183.0,Сопутствующий,0.0008931656160699677,,,0.0,0.0,-100.0,0.0,3377.0,0.0,0.0
Владимир Лента,7. Инструменты,авг,Структура только формата,0.09542431554797833,True,0.0,228869.0,8340000,240000.0,228869.0,0.0,64.0,64.0,Мини,228869.0,Сопутствующий,0.09542431554797833,,,240000.0,240000.0,4.9,3750.0,3576.0,4.9,0.0
Владимир Лента,8. Краски,авг,Структура только формата,0.19186637820261435,True,0.0,960789.0,8340000,1020000.0,960789.0,0.0,232.0,232.0,Мини,960789.0,Сопутствующий,0.19186637820261435,,,1020000.0,1020000.0,6.2,4397.0,4141.0,6.2,0.0
