Отдел,Филиал,Правило,Месяц,Rev_2024,Rev_2025,Rev_2025_Year,Rev_2025_Norm,Rev_2025_Year_Norm,Seasonality_Share,Формат,is_network_format,Final_Weight,Роль,План,Корр,Корр_Дельта,План_Расч,План_Скорр,Авто_Корр,Прирост_%,Прирост_24_26_%,Выручка_2024,Выручка_2025,Выручка_2025_Норм,Сезонность_Факт,Сезонность_План,Прирост_Год_%,Рекоменд,Площадь_2025,Площадь_2026,Δ_Площадь_%,Отдача_2025,Отдача_План,Δ_Отдача_%,_План_Расч_Исх
1. Сантехника,Владимир Лента,Структура только формата,1,0.0,369903.0,6532421.0,369903.0,6532421.0,0.07915871255490149,Мини,True,0.12433431673607535,Стратегический,6460000,,,1030000.0,1000000.0,,170.3,0.0,0.0,369903.0,369903.0,5.662571349886972,7.980845969672785,91.8,1030000.0,0.0,505.0,0.0,0,1980,0.0,1030000.0
1А. Сантехника инженерная,Владимир Лента,Структура только формата,1,0.0,147765.0,1588951.0,147765.0,1588951.0,0.07494962268762716,Мини,True,0.03951897653139892,Сопутствующий,6460000,,,160000.0,160000.0,,8.3,0.0,0.0,147765.0,147765.0,9.299531577751612,8.791208791208792,14.5,160000.0,0.0,18.0,0.0,0,8889,0.0,160000.0
"2А. Крепеж, метизы, такелаж",Владимир Лента,Структура только формата,1,0.0,81080.0,771212.0,81080.0,771212.0,0.07118577152467921,Мини,True,0.01846906787755978,Сопутствующий,6460000,,,90000.0,90000.0,,11.0,0.0,0.0,81080.0,81080.0,10.513321888144894,10.227272727272728,14.1,90000.0,0.0,19.0,0.0,0,4737,0.0,90000.0
3. Плитка керамическая,Владимир Лента,Структура только формата,1,0.0,38037.0,5285722.0,38037.0,5285722.0,0.07962111816123019,Мини,True,0.12082457944271717,Стратегический,6460000,,,1180000.0,1140000.0,,2897.1,0.0,0.0,38037.0,38037.0,0.7196178686658133,8.0,169.6,1180000.0,0.0,257.0,0.0,0,4436,0.0,1180000.0
"4. Обои, плитка потолочная",Владимир Лента,Структура только формата,1,0.0,947535.0,9902105.0,947535.0,9902105.0,0.0882395484583606,Мини,True,0.1543740846686813,Стратегический,6460000,,,1140000.0,1110000.0,,17.1,0.0,0.0,947535.0,947535.0,9.569025979829542,9.017059301380991,24.3,1140000.0,0.0,369.0,0.0,0,3008,0.0,1140000.0
"4А. Декор окна, текстиль, ковры",Владимир Лента,Структура только формата,1,0.0,72988.0,1179079.0,72988.0,1179079.0,0.08121357981769094,Мини,True,0.016487976240385446,Сопутствующий,6460000,,,80000.0,80000.0,,9.6,0.0,0.0,72988.0,72988.0,6.19025527551589,6.557377049180328,3.5,80000.0,0.0,86.0,0.0,0,930,0.0,80000.0
5. Покрытия напольные,Владимир Лента,Структура только формата,1,0.0,342155.0,4311438.0,342155.0,4311438.0,0.07922712643709254,Мини,True,0.11442338065755356,Стратегический,6460000,,,610000.0,590000.0,,72.4,0.0,0.0,342155.0,342155.0,7.935983307657445,7.908847184986595,73.0,610000.0,0.0,143.0,0.0,0,4126,0.0,610000.0
"6. Электрика, вентиляция, климат",Владимир Лента,Структура только формата,1,0.0,140177.0,1845094.0,140177.0,1845094.0,0.08764932942130332,Мини,True,0.04206703857978553,Сопутствующий,6460000,,,150000.0,150000.0,,7.0,0.0,0.0,140177.0,140177.0,7.597282306484114,7.281553398058252,11.6,150000.0,0.0,30.0,0.0,0,5000,0.0,150000.0
6А. Светотехника,Владимир Лента,Не считаем план,1,0.0,176057.0,2287074.0,176057.0,2287074.0,0.10144714949431176,Мини,True,0.0006001377388325403,Сопутствующий,6460000,,,190000.0,190000.0,,7.9,0.0,0.0,176057.0,176057.0,7.697914453139688,8.597285067873303,-3.4,190000.0,0.0,88.0,0.0,0,2159,0.0,190000.0
7. Инструменты,Владимир Лента,Структура только формата,1,0.0,282305.0,2775481.0,282305.0,2775481.0,0.0652830193931755,Мини,True,0.0744636365896068,Сопутствующий,6460000,,,300000.0,290000.0,,2.7,0.0,0.0,282305.0,282305.0,10.171390112200372,8.454810495626822,23.6,300000.0,0.0,64.0,0.0,0,4531,0.0,300000.0
