Отдел,Кострома Стройка,Ярославль,ЯрославльФрунзе,Вологда ТЦ,Череповец ТЦ,Иваново,Рыбинск,Владимир Розница,Воронеж,Тамбов,Владимир Лента,Воронеж Московский Проспект,Москва Хаб
1. Сантехника,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
1А. Сантехника инженерная,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
"2А. Крепеж, метизы, такелаж",Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
3. Плитка керамическая,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
"4. Обои, плитка потолочная",Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
"4А. Декор окна, текстиль, ковры",Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Структура только формата,Структура только формата,Продажи только 2025,Структура только формата,Структура только формата,Продажи только 2025
5. Покрытия напольные,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
"6. Электрика, вентиляция, климат",Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
6А. Светотехника,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Не считаем план,Не считаем план,Продажи только 2025,Не считаем план,Не считаем план,Продажи только 2025
7. Инструменты,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
8. Краски,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
"9. Двери, фурнитура дверная",Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
9А. Материалы отделочные,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
10. Товары для дома,Продажи 2024-2025,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Продажи 2024-2025,Продажи только 2025,Структура только формата,Продажи только 2025
10А. Сезонные товары,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Структура только формата,Структура только формата,Продажи только 2025,Не считаем план,Структура только формата,Продажи только 2025
Бытовая техника,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Продажи только 2025,Структура только формата,Структура только формата,Продажи только 2025,Структура только формата,Структура только формата,Продажи только 2025
Мебель для дома и офиса,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
Мебель для кухни,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи 2024-2025,Структура только формата,Структура только формата,Продажи только 2025
2. Стройматериалы,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Не считаем план,Продажи 2024-2025,Не считаем план,Не считаем план,Продажи только 2025
2Б. Лесопиломатериалы,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Не считаем план,Продажи 2024-2025,Не считаем план,Не считаем план,Продажи только 2025
2В. Металлопрокат,Продажи 2024-2025,Продажи только 2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Продажи 2024-2025,Не считаем план,Продажи 2024-2025,Не считаем план,Не считаем план,Продажи только 2025
